E,N,y,x
2595616.135,1206265.854,595616.02,206265.7
2599731.245,1208334.174,599731.12,208334.05
2602174.66,1212239.417,602174.5,212239.27
2605582.435,1209630.104,605582.29,209629.95
2607316.666,1213190.937,607316.43,213190.67
2605284.493,1215578.298,605284.21,215577.98
2608460.96,1209769.81,608460.75,209769.64
2604019.806,1217873.479,604019.48,217873.15
2601780.086,1214559.389,601779.8,214559.12
2602260.023,1204741.631,602259.95,204741.53
2607447.597,1219289.283,607447.3,219289
2610191.625,1217448.063,610191.36,217447.75
2609677.306,1220131.385,609676.98,220131.08
2613808.254,1219118.35,613807.91,219118.13
2611935.25,1214586.724,611934.96,214586.49
2616622.878,1217202.062,616622.53,217201.82
2619031.006,1220014.389,619030.62,220014.2
2614375.275,1213146.311,614374.95,213146.15
2616917.699,1213621.543,616917.4,213621.4
2622982.451,1218071.235,622982.02,218071.05
2622834.792,1222101.683,622834.31,222101.5
2656968.621,1164515.49,656968.39,164515.55
2652740.839,1154230.835,652740.91,154231.08
2661647.658,1159528.551,661647.46,159528.8
2629307.233,1215434.261,629306.76,215434.15
2626043.93,1220749.553,626043.48,220749.41
2629856.045,1217650.051,629855.6,217649.92
2630058.17,1221197.34,630057.68,221197.2
2629892.54,1223979.79,629892.07,223979.64
2627012.308,1224845.254,627011.83,224845.07
2623043.742,1226264.12,623043.32,226263.88
2631909.558,1226020.527,631909.04,226020.36
2629477.66,1228055.72,629477.18,228055.53
2626018.267,1226446.261,626017.83,226446.08
2627675.78,1231114.221,627675.29,231113.95
2625409.257,1229739.51,625408.74,229739.31
2621126.928,1229462.132,621126.49,229461.9
2625707.163,1232179.78,625706.67,232179.55
2619859.506,1234187.276,619859.05,234187.02
2615961.661,1236844.915,615961.2,236844.63
2614966.056,1233586.661,614965.63,233586.37
2613022.186,1234996.831,613021.78,234996.55
2608701.895,1208585.898,608701.71,208585.78
2614049.181,1201505.499,614049.04,201505.49
2613258.032,1203220.991,613257.85,203221.01
2609259.903,1207324.554,609259.7,207324.44
2608842.906,1203774.711,608842.74,203774.65
2606779.72,1202982.7,606779.58,202982.65
2612443.93,1200463.88,612443.77,200463.88
2608032.852,1199128.11,608032.7,199128.11
2614431.174,1199921.627,614431.03,199921.61
2614303.697,1196297.053,614303.55,196297.12
2610227.278,1195110.416,610227.16,195110.46
2614841.882,1191397.063,614841.77,191397.16
2610888.7,1188327.46,610888.63,188327.55
2606651.253,1189903.459,606651.21,189903.5
2607641.25,1193157.509,607641.18,193157.61
2605490.151,1196092.643,605490.09,196092.66
2598657.432,1205399.447,598657.25,205399.36
2604414.02,1201590.893,604413.91,201590.86
2598640.302,1203136.803,598640.15,203136.7
2602635.189,1200933.785,602635.13,200933.7
2594410.046,1203087.936,594409.92,203087.85
2602771.723,1197800.499,602771.64,197800.49
2600392.959,1196243.449,600392.94,196243.43
2594559.082,1197336.402,594559.01,197336.32
2591863.525,1194069.654,591863.49,194069.61
2596368.617,1192105.791,596368.57,192105.77
2588137.221,1200712.223,588137.12,200712.02
2585575.381,1205361.039,585575.31,205360.76
2583843.184,1202345.091,583843.14,202344.84
2591828.423,1200055.322,591828.33,200055.17
2587179.98,1197310.75,587179.91,197310.6
2590488.76,1194589.702,590488.71,194589.58
2602329.266,1194309.318,602329.24,194309.34
2597783.01,1195242.603,597782.96,195242.59
2599299.484,1192561.43,599299.43,192561.45
2601152.867,1193351.685,601152.86,193351.72
2602030.74,1191775.03,602030.68,191775.03
2604858.487,1191636.999,604858.47,191637.06
2603157.112,1187559.561,603157.1,187559.59
2597426.042,1187260.27,597426.02,187260.25
2601144.506,1183825.978,601144.52,183826
2597070.536,1181841.36,597070.57,181841.32
2593547.96,1180627.47,593547.99,180627.44
2591512.018,1185795.837,591512.02,185795.8
2592023.87,1179867.99,592023.9,179867.93
2616458.902,1189896.373,616458.81,189896.48
2613664.049,1184543.525,613664.07,184543.57
2609942.918,1184886.716,609942.88,184886.83
2606763.885,1183448.97,606763.92,183449.02
2600876.792,1181103.513,600876.85,181103.52
2606615.611,1179906.865,606615.66,179906.92
2608898.917,1220919.352,608898.59,220919.03
2612762.42,1178649.89,612762.44,178650.02
2607269.653,1175014.534,607269.78,175014.71
2614087.135,1173875.52,614087.22,173875.71
2589568.607,1176043.501,589568.7,176043.45
2595827.833,1177607.307,595827.9,177607.29
2601672.48,1177672.32,601672.56,177672.31
2600574.52,1174594.03,600574.66,174594.03
2607545.669,1171421.243,607545.8,171421.31
2598475.381,1171949.641,598475.56,171949.63
2610166.64,1173487.194,610166.78,173487.4
2602758.182,1167100.829,602758.33,167100.91
2598832.208,1165596.839,598832.45,165596.89
2607362.074,1167726.171,607362.22,167726.34
2604152.764,1164122.117,604152.98,164122.17
2598504.422,1162924.58,598504.66,162924.64
2612644.688,1172099.284,612644.78,172099.52
2612275.42,1166978.708,612275.48,166978.9
2615599.589,1168829.055,615599.69,168829.37
2616870.01,1169974.63,616870.07,169974.89
2623562.09,1170599.717,623562,170600
2620562.864,1167277.693,620562.87,167277.96
2616367.21,1166132.46,616367.29,166132.6
2595431.43,1163323.99,595431.64,163324
2592282.596,1160794.858,592282.85,160794.82
2595410.445,1157358.483,595410.72,157358.45
2599335.946,1160187.864,599336.23,160187.86
2602347.709,1162509.553,602348.01,162509.62
2608191.303,1162448.513,608191.48,162448.74
2604430.423,1159910.969,604430.68,159911.09
2612950.342,1162274.767,612950.53,162274.91
2600114.827,1155540.345,600115.11,155540.33
2606191.595,1151031.149,606191.94,151031.09
2611074.655,1158469.301,611074.91,158469.41
2608758.329,1155208.882,608758.55,155208.95
2610164.665,1150045.967,610164.92,150046.04
2613695.587,1155694.508,613695.81,155694.63
2615425.139,1153728.422,615425.32,153728.44
2594731.764,1153861.692,594732.07,153861.57
2595362.803,1156138.46,595363.08,156138.37
2589459.12,1151594.44,589459.48,151594.32
2593732.14,1150456.02,593732.56,150455.94
2595928.602,1152154.378,595928.9,152154.23
2596602.461,1150417.729,596602.74,150417.69
2599126.641,1148117.981,599126.98,148117.93
2594655.313,1147043.207,594655.77,147043.12
2587698.341,1156672.894,587698.62,156672.81
2586894.36,1150283.954,586894.75,150283.81
2583722.515,1150671.57,583722.88,150671.4
2587729.853,1146603.498,587730.28,146603.4
2586918.7,1149063.33,586919.07,149063.22
2591233.293,1142052.413,591233.77,142052.33
2588037.462,1145242.046,588037.91,145241.9
2587104.427,1140715.526,587104.85,140715.37
2595025.966,1143185.374,595026.46,143185.16
2592549.697,1141015.996,592550.12,141015.91
2599477.969,1145832.808,599478.35,145832.71
2604329.368,1145742.806,604329.78,145742.84
2586804.967,1136704.141,586805.37,136703.95
2594001.069,1133681.187,594001.52,133681.01
2595370.837,1141021.04,595371.3,141020.95
2607297.44,1139787.72,607297.94,139787.68
2600391.669,1144559.657,600391.97,144559.65
2606401.285,1144816.867,606401.67,144816.9
2609713.57,1144184.61,609713.9,144184.68
2612349.097,1141189.831,612349.55,141189.82
2611535.574,1146272.335,611535.9,146272.37
2606138.981,1146772.036,606139.36,146772
2610087.509,1147965.502,610087.85,147965.5
2615678.568,1145719.221,615678.82,145719.33
2618433.13,1141982.12,618433.51,141982.11
2616914.266,1156648.065,616914.4,156648.3
2616362.44,1158322.38,616362.57,158322.58
2621079.02,1154517.32,621079.19,154517.41
2619445.831,1162715.098,619445.87,162715.39
2621857.571,1159721.955,621857.55,159722.23
2623341.273,1161889.537,623341.33,161889.72
2625351.416,1165352.644,625351.32,165352.97
2625194.902,1167188.492,625194.81,167188.82
2629713.153,1164015.941,629713.08,164016.28
2629328.712,1167823.936,629328.6,167824.24
2616775.832,1184335.252,616775.76,184335.31
2616978.95,1181756.614,616978.91,181756.72
2621129.716,1182910.27,621129.58,182910.35
2625172.464,1181301.523,625172.32,181301.63
2626250.664,1181801.178,626250.45,181801.29
2620606.414,1179634.504,620606.34,179634.61
2614279.031,1181739.552,614279.02,181739.65
2616993.042,1177758.934,616993.05,177759.08
2618382.095,1174979.379,618382.06,174979.58
2620381.41,1175045.355,620381.4,175045.54
2618819.291,1178427.707,618819.29,178427.85
2624246.507,1179818.877,624246.37,179818.98
2624493.256,1172344.81,624493.18,172345.04
2624800.039,1178549.603,624799.92,178549.74
2629177.47,1172481.37,629177.3,172481.6
2630590.885,1170582.798,630590.74,170583.07
2627881.423,1174226.974,627881.26,174227.22
2627710.036,1178114.197,627709.88,178114.32
2628129.478,1175705.325,628129.3,175705.49
2633366.818,1181226.456,633366.61,181226.49
2641696.231,1180568.483,641695.78,180568.55
2630424.559,1177553.751,630424.36,177553.93
2633597.237,1177460.431,633596.99,177460.58
2633697.194,1173985.129,633696.96,173985.32
2635160.58,1172529.28,635160.31,172529.54
2637286.996,1173804.158,637286.69,173804.46
2640422.133,1173143.352,640421.75,173143.65
2636855.902,1176079.516,636855.62,176079.68
2636834.23,1178387.276,636833.93,178387.41
2640452.192,1176519.424,640451.74,176519.65
2644895.415,1176339.7,644894.94,176339.86
2645854.426,1178804.881,645853.95,178805.03
2643001.769,1178380.878,643001.25,178381.04
2648358.33,1177994.06,648357.85,177994.23
